"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 15 19:39:18 GMT 2024","Thu Aug 15 19:39:21 GMT 2024","3001","","RegistrationFormTest","","RegistrationFormTest","testSelectHobby","Выбор хобби [2] Reading","Этот тест проверяет возможность выбора различных хобби"
"passed","Thu Aug 15 19:39:34 GMT 2024","Thu Aug 15 19:39:37 GMT 2024","2907","","RegistrationFormTest","","RegistrationFormTest","testStateAndCitySelection","Проверка выбора штата и города [1] NCR, Delhi","Этот тест проверяет, что после выбора значения для штата и города они сохраняются корректно"
"passed","Thu Aug 15 19:39:40 GMT 2024","Thu Aug 15 19:39:43 GMT 2024","3194","","RegistrationFormTest","","RegistrationFormTest","testStateAndCitySelection","Проверка выбора штата и города [3] Haryana, Karnal","Этот тест проверяет, что после выбора значения для штата и города они сохраняются корректно"
"passed","Thu Aug 15 19:38:20 GMT 2024","Thu Aug 15 19:38:56 GMT 2024","35806","","RegistrationFillingFormTest","","RegistrationFillingFormTest","testCompleteRegistrationForm","Полное заполнение формы регистрации","Этот тест проверяет корректное заполнение всех полей формы регистрации."
"passed","Thu Aug 15 19:38:58 GMT 2024","Thu Aug 15 19:39:01 GMT 2024","2863","","RegistrationFormTest","","RegistrationFormTest","testPhoneNumber","Тест заполнения поля 'Номер телефона'","Этот тест проверяет корректность заполнения поля 'Номер телефона' в форме регистрации."
"passed","Thu Aug 15 19:39:31 GMT 2024","Thu Aug 15 19:39:34 GMT 2024","2403","","RegistrationFormTest","","RegistrationFormTest","testCurrentAddress","Тест заполнения поля 'Текущий адрес'","Этот тест проверяет корректность заполнения поля 'Текущий адрес' в форме регистрации."
"passed","Thu Aug 15 19:39:45 GMT 2024","Thu Aug 15 19:39:49 GMT 2024","3347","","RegistrationFormTest","","RegistrationFormTest","testSelectAllHobbies","Выбор всех хобби","Этот тест проверяет возможность выбора всех хобби одновременно"
"passed","Thu Aug 15 19:39:12 GMT 2024","Thu Aug 15 19:39:15 GMT 2024","2982","","RegistrationFormTest","","RegistrationFormTest","testDateOfBirth","Выбор даты рождения","Этот тест проверяет корректность выбора даты рождения"
"passed","Thu Aug 15 19:39:03 GMT 2024","Thu Aug 15 19:39:09 GMT 2024","6315","","RegistrationFormTest","","RegistrationFormTest","testSubjects","Заполнение поля Subjects","Этот тест проверяет корректность заполнения поля 'Subjects'"
"passed","Thu Aug 15 19:39:15 GMT 2024","Thu Aug 15 19:39:18 GMT 2024","3005","","RegistrationFormTest","","RegistrationFormTest","testSelectHobby","Выбор хобби [1] Sports","Этот тест проверяет возможность выбора различных хобби"
"passed","Thu Aug 15 19:39:37 GMT 2024","Thu Aug 15 19:39:40 GMT 2024","2960","","RegistrationFormTest","","RegistrationFormTest","testStateAndCitySelection","Проверка выбора штата и города [2] Uttar Pradesh, Agra","Этот тест проверяет, что после выбора значения для штата и города они сохраняются корректно"
"passed","Thu Aug 15 19:39:27 GMT 2024","Thu Aug 15 19:39:29 GMT 2024","2220","","RegistrationFormTest","","RegistrationFormTest","testGenderOption","Тест выбора пола [2] Female","Этот тест проверяет возможность выбора различных опций пола"
"passed","Thu Aug 15 19:39:09 GMT 2024","Thu Aug 15 19:39:12 GMT 2024","2465","","RegistrationFormTest","","RegistrationFormTest","testEmail","Тест заполнения поля 'Email'","Этот тест проверяет корректность заполнения поля 'Email' в форме регистрации."
"passed","Thu Aug 15 19:39:21 GMT 2024","Thu Aug 15 19:39:24 GMT 2024","2889","","RegistrationFormTest","","RegistrationFormTest","testSelectHobby","Выбор хобби [3] Music","Этот тест проверяет возможность выбора различных хобби"
"passed","Thu Aug 15 19:39:24 GMT 2024","Thu Aug 15 19:39:27 GMT 2024","3185","","RegistrationFormTest","","RegistrationFormTest","testGenderOption","Тест выбора пола [1] Male","Этот тест проверяет возможность выбора различных опций пола"
"passed","Thu Aug 15 19:38:56 GMT 2024","Thu Aug 15 19:38:58 GMT 2024","2186","","RegistrationFormTest","","RegistrationFormTest","testUploadPicture","Загрузка изображения","Этот тест проверяет возможность загрузки изображения"
"passed","Thu Aug 15 19:39:29 GMT 2024","Thu Aug 15 19:39:31 GMT 2024","1971","","RegistrationFormTest","","RegistrationFormTest","testGenderOption","Тест выбора пола [3] Other","Этот тест проверяет возможность выбора различных опций пола"
"passed","Thu Aug 15 19:39:01 GMT 2024","Thu Aug 15 19:39:03 GMT 2024","1843","","RegistrationFormTest","","RegistrationFormTest","overviewTest","overviewTest()","
    <h2>Тестирование формы регистрации на сайте</h2>
    <p>Этот набор тестов проверяет функциональность формы регистрации, включая:</p>
    <ul>
        <li>Заполнение всех полей формы</li>
        <li>Выбор Имени и Фамилии</li>
        <li>Выбор различных опций (пол, хобби, предметы)</li>
        <li>Загрузку изображения</li>
        <li>Выбор даты рождения</li>
        <li>Выбор штата и города</li>
    </ul>
    "
"passed","Thu Aug 15 19:39:43 GMT 2024","Thu Aug 15 19:39:45 GMT 2024","2471","","RegistrationFormTest","","RegistrationFormTest","testFirstNameAndLastName","Тест заполнения полей 'Имя' и 'Фамилия'","Этот тест проверяет корректность заполнения полей 'Имя' и 'Фамилия' в форме регистрации."
